year,month,day,flow,ss,ht,rain
1980,8,14,0.268,NaN,NaN,NaN
1980,8,15,0.258,NaN,NaN,NaN
1980,8,16,0.601,NaN,NaN,NaN
1980,8,17,0.415,NaN,NaN,NaN
1980,8,18,0.358,NaN,NaN,NaN
1980,8,19,0.284,NaN,NaN,NaN
1980,8,20,0.282,NaN,NaN,NaN
1980,8,21,0.272,NaN,NaN,NaN
1980,8,22,0.272,NaN,NaN,NaN
1980,8,23,0.275,NaN,NaN,NaN
1980,8,24,0.274,NaN,NaN,NaN
1980,8,25,0.288,NaN,NaN,NaN
1980,8,26,0.281,NaN,NaN,NaN
1980,8,27,1.404,NaN,NaN,NaN
1980,8,28,2.457,NaN,NaN,NaN
1980,8,29,0.563,NaN,NaN,NaN
1980,8,30,0.432,NaN,NaN,NaN
1980,8,31,0.357,NaN,NaN,NaN
1980,9,1,0.326,NaN,NaN,NaN
1980,9,2,1.109,NaN,NaN,NaN
1980,9,3,1.845,NaN,NaN,NaN
1980,9,4,3.644,NaN,NaN,NaN
1980,9,5,3.14,NaN,NaN,NaN
1980,9,6,0.613,NaN,NaN,NaN
1980,9,7,0.461,NaN,NaN,NaN
1980,9,8,0.463,NaN,NaN,NaN
1980,9,9,0.484,NaN,NaN,NaN
1980,9,10,0.678,NaN,NaN,NaN
1980,9,11,0.577,NaN,NaN,NaN
1980,9,12,0.397,NaN,NaN,NaN
1980,9,13,0.858,NaN,NaN,NaN
1980,9,14,0.552,NaN,NaN,NaN
1980,9,15,0.438,NaN,NaN,NaN
1980,9,16,0.356,NaN,NaN,NaN
1980,9,17,0.441,NaN,NaN,NaN
1980,9,18,0.359,NaN,NaN,NaN
1980,9,19,0.514,NaN,NaN,NaN
1980,9,20,0.423,NaN,NaN,NaN
1980,9,21,0.343,NaN,NaN,NaN
1980,9,22,0.463,NaN,NaN,NaN
1980,9,23,0.375,NaN,NaN,NaN
1980,9,24,0.33,NaN,NaN,NaN
1980,9,25,0.301,NaN,NaN,NaN
1980,9,26,0.329,NaN,NaN,NaN
1980,9,27,0.427,NaN,NaN,NaN
1980,9,28,0.327,NaN,NaN,NaN
1980,9,29,0.31,NaN,NaN,NaN
1980,9,30,0.295,NaN,NaN,NaN
1980,10,1,0.296,NaN,NaN,NaN
1980,10,2,0.283,NaN,NaN,NaN
1980,10,3,0.303,NaN,NaN,NaN
1980,10,4,0.32,NaN,NaN,NaN
1980,10,5,0.96,NaN,NaN,NaN
1980,10,6,0.642,NaN,NaN,NaN
1980,10,7,0.385,NaN,NaN,NaN
1980,10,8,0.626,NaN,NaN,NaN
1980,10,9,0.527,NaN,NaN,NaN
1980,10,10,3.708,NaN,NaN,NaN
1980,10,11,1.391,NaN,NaN,NaN
1980,10,12,0.613,NaN,NaN,NaN
1980,10,13,0.487,NaN,NaN,NaN
1980,10,14,0.417,NaN,NaN,NaN
1980,10,15,0.466,NaN,NaN,NaN
1980,10,16,0.421,NaN,NaN,NaN
1980,10,17,0.444,NaN,NaN,NaN
1980,10,18,0.434,NaN,NaN,NaN
1980,10,19,0.402,NaN,NaN,NaN
1980,10,20,0.413,NaN,NaN,NaN
1980,10,21,0.485,NaN,NaN,NaN
1980,10,22,0.407,NaN,NaN,NaN
1980,10,23,0.378,NaN,NaN,NaN
1980,10,24,0.35,NaN,NaN,NaN
1980,10,25,0.362,NaN,NaN,NaN
1980,10,26,0.366,NaN,NaN,NaN
1980,10,27,0.359,NaN,NaN,NaN
1980,10,28,0.335,NaN,NaN,NaN
1980,10,29,0.598,NaN,NaN,NaN
1980,10,30,0.366,NaN,NaN,NaN
1980,10,31,0.321,NaN,NaN,NaN
1980,11,1,0.32,NaN,NaN,NaN
1980,11,2,0.313,NaN,NaN,NaN
1980,11,3,0.441,NaN,NaN,NaN
1980,11,4,0.287,NaN,NaN,NaN
1980,11,5,0.318,NaN,NaN,NaN
1980,11,6,0.279,NaN,NaN,NaN
1980,11,7,0.317,NaN,NaN,NaN
1980,11,8,0.584,NaN,NaN,NaN
1980,11,9,0.3,NaN,NaN,NaN
1980,11,10,0.342,NaN,NaN,NaN
1980,11,11,0.261,NaN,NaN,NaN
1980,11,12,NaN,NaN,NaN,NaN
1980,11,13,NaN,NaN,NaN,NaN
1980,11,14,NaN,NaN,NaN,NaN
1980,11,15,NaN,NaN,NaN,NaN
1980,11,16,NaN,NaN,NaN,NaN
1980,11,17,NaN,NaN,NaN,NaN
1980,11,18,0.291,NaN,NaN,NaN
1980,11,19,0.285,NaN,NaN,NaN
1980,11,20,0.291,NaN,NaN,NaN
1980,11,21,0.331,NaN,NaN,NaN
1980,11,22,0.288,NaN,NaN,NaN
1980,11,23,0.262,NaN,NaN,NaN
